,coefs,var,mean,at_risk,loss_prob,coefs_dict,coefs_string
0,"[0.0, 0.2807896554913968, 3.1156951919821916e-19, 7.265264938843736e-17, 0.0, 0.0, 0.0, 0.0, 2.0715268767036797e-17, 0.0, 4.492417882712058e-17, 0.0, 3.604833618122939e-18, 3.706602316645682e-17, 3.5641760366547325e-18, 0.0, 2.4528688098570904e-18, 1.9820801974736262e-17, 0.0, 2.208923321047852e-18, 0.0, 0.0, 4.700278227908366e-18, 0.0, 1.8008859895167933e-17, 3.8041805121693775e-17, 2.1695147281618648e-17, 0.0, 0.0, 4.375017576162715e-18, 0.0, 0.3049587842132875, 0.0, 0.0, 1.508151402945707e-17, 6.467804979842474e-18, 0.0, 0.0, 2.998929390113276e-17, 1.811959020227263e-17, 2.522026739910543e-17, 0.0, 0.0, 3.664490918628007e-17, 6.243635400261762e-17, 2.721235028565618e-17, 6.368301709438705e-19, 8.657616157480457e-18, 8.20645560857474e-18, 1.2468894805747827e-17, 5.143045450336748e-18, 0.0, 3.657796278224944e-19, 2.34444859260854e-18, 1.1370431678550364e-17, 2.2962293170119653e-20, 0.0, 1.90808339920149e-17, 0.0, 3.695760294920827e-17, 4.822250972312985e-18, 0.0, 0.0, 0.0, 0.0, 9.620908226895218e-19, 3.5641760366547325e-18, 0.0, 0.0, 0.0, 0.0, 1.0503069940561961e-17, 1.2129373199290217e-17, 1.1774697403376283e-17, 0.15329980875236168, 1.5596510061387686e-17, 3.474755538443043e-17, 0.0, 1.1710493846034304e-16, 0.0, 0.0, 3.573556541530593e-17, 1.028622950606486e-17, 1.0179949972083056e-18, 0.0, 6.789677499799108e-18, 1.1478851895798915e-17, 1.7645251751810223e-17, 0.0, 0.0, 0.2609517515429546, 0.0, 0.0, 7.463284301252921e-19, 1.3050945045902896e-17, 1.1320364331068244e-18, 2.5575174204004983e-17, 0.0, 0.0, 0.0]",0.009846169416170305,0.20955700926375603,-0.021281526147014646,0.017348517154694064,"{'FDN': 0.2807896554913969, 'QLD': 0.3049587842132876, 'IDU': 0.15329980875236174, 'EDV': 0.2609517515429547}",FDN0.2807896554913969 QLD0.3049587842132876 IDU0.15329980875236174 EDV0.2609517515429547
1,"[3.774573630543031e-17, 0.25665205380576245, 7.64806598250255e-18, 0.0, 0.0, 2.192003452911466e-17, 0.0, 0.0, 0.0, 2.2011075170345453e-18, 4.727826049442939e-18, 0.0, 0.0, 4.497182828055344e-18, 1.2659831432657977e-18, 0.0, 8.424666696386475e-19, 1.3869833398409787e-17, 4.7648429292978416e-17, 3.2912581708996393e-18, 2.124810639295639e-17, 8.384448031990938e-18, 0.0, 5.68313444831479e-17, 2.0402151487634952e-17, 0.0, 0.0, 7.093569820375384e-18, 4.088917182643504e-17, 5.040744661117129e-17, 0.0, 0.3582286148739023, 5.108507296897473e-17, 0.0, 0.0, 8.233676167379672e-18, 0.0, 2.9550107317981396e-17, 2.655499881649019e-17, 4.518589660722311e-18, 2.224385522484997e-19, 0.0, 2.5517152447118063e-17, 0.0, 4.789640203843687e-18, 5.54858172458354e-18, 0.0, 0.0, 0.0, 8.272200765880701e-19, 2.3152259559282666e-18, 2.3329497353345814e-17, 1.0434144559554026e-17, 0.0, 1.8342167359912494e-17, 0.0, 2.5281061263819722e-17, 0.0, 4.009542110171291e-18, 6.219054119117466e-17, 0.0, 0.0, 0.0, 6.476806629981935e-18, 1.475219531986424e-18, 2.295975207127027e-18, 0.0, 0.0, 9.068411736299744e-19, 3.8506887812132534e-19, 2.660230945674411e-17, 0.0, 0.0, 0.0, 0.11891496838945703, 1.5577451820074458e-17, 2.202845474636321e-17, 7.127327933473238e-18, 1.292115649748497e-17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.3629417991958107e-17, 1.5699424564479077e-17, 0.0, 2.0869713674519326e-17, 0.26620436293087874, 0.0, 3.813858248606733e-18, 0.0, 1.6282183232190036e-17, 1.2276333415638839e-17, 0.0, 0.0, 1.5978968537971649e-18, 2.295975207127027e-18]",0.011822852192554686,0.21924979304402978,-0.033700850244468866,0.02187874967064251,"{'FDN': 0.25665205380576256, 'QLD': 0.35822861487390245, 'IDU': 0.11891496838945709, 'EDV': 0.26620436293087885}",FDN0.25665205380576256 QLD0.35822861487390245 IDU0.11891496838945709 EDV0.26620436293087885
2,"[1.6376619705509373e-17, 0.2362138870426717, 0.0, 0.0, 6.506560587329117e-18, 1.7890683398426912e-17, 2.787889591244962e-17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.4061498871240735e-18, 9.18996096423074e-18, 0.0, 3.4783939299664764e-17, 6.886031347699043e-18, 0.0, 1.642701046557148e-17, 7.145027071921083e-17, 0.0, 4.42627847007064e-18, 5.836533655122449e-17, 2.440802440508475e-18, 2.1897642058109082e-17, 2.041826051423183e-17, 0.0, 0.4054291978552984, 0.0, 1.1866615878752414e-17, 2.7845045395757536e-17, 0.0, 9.217066018542878e-18, 0.0, 0.0, 3.3894793414332915e-18, 1.677344694099849e-17, 4.859959339064842e-18, 1.7022205117008103e-18, 0.0, 0.0, 3.0913237439997778e-18, 0.0, 0.0, 0.0, 1.642870453146599e-17, 6.445805224112427e-18, 1.2260147386046773e-17, 9.596536778912804e-18, 0.0, 2.201065165387183e-17, 9.398331069255298e-18, 0.0, 9.841367802166986e-19, 4.554996676855209e-18, 0.0, 0.0, 1.5017778650325947e-17, 1.415018590335192e-17, 0.0, 3.266082041617415e-19, 1.339124438261207e-17, 7.48234254256607e-18, 1.856176450163794e-17, 8.519110870005334e-18, 2.561103449887193e-17, 0.0, 0.0, 0.0, 0.0, 0.08664100784934897, 6.5675777607295114e-18, 0.0, 1.3824925251606272e-17, 0.0, 0.0, 0.0, 9.034137703134034e-18, 1.1764941123883813e-17, 1.7106600399752683e-18, 0.0, 1.0843369277271135e-17, 1.8758045136415315e-17, 8.401789106511101e-18, 5.883144338149952e-18, 0.0, 0.2717159072526815, 1.236125231875084e-17, 2.1692198066902298e-17, 7.882411604153352e-19, 6.4523504787048416e-18, 3.667336949330787e-18, 0.0, 3.5563178809940634e-17, 8.674964932300126e-18, 1.1555107961950367e-17]",0.013775518030760554,0.22790730493717495,-0.04513417417462903,0.02608071828485973,"{'FDN': 0.23621388704267188, 'QLD': 0.4054291978552987, 'IDU': 0.08664100784934903, 'EDV': 0.2717159072526817}",FDN0.23621388704267188 QLD0.4054291978552987 IDU0.08664100784934903 EDV0.2717159072526817
3,"[1.368064088934103e-17, 0.2167053386907145, 1.0970601326248251e-17, 0.0, 1.109131892183107e-18, 1.6560345001918594e-17, 1.6403158787806754e-17, 0.0, 0.003293004756341419, 0.0, 0.0, 0.0, 1.0381896487247564e-16, 2.492971969760264e-20, 0.0, 0.0, 9.259594772794564e-18, 0.0, 2.2510053039213536e-16, 0.0, 0.0, 0.0, 0.0, 4.382669748811198e-17, 0.0, 6.72949041868702e-17, 0.0, 0.0, 0.0, 1.7367394143912726e-17, 0.0, 0.445152581073733, 0.0, 1.3584233139344444e-17, 4.586105886918044e-19, 1.0757149023540167e-17, 0.0, 0.0, 1.9888164194941524e-17, 0.0, 0.0, 0.0, 0.0, 4.430981813017751e-17, 3.2550994894262736e-17, 2.0403160226872138e-17, 5.1701197034508024e-18, 1.7421604252537e-17, 0.0, 2.355599011329186e-17, 0.0, 0.0, 8.91538753407874e-18, 0.0, 9.513030880762813e-18, 0.0, 0.0, 5.2549754641067345e-17, 4.2817553985202544e-18, 0.0, 1.8219717196937662e-18, 0.0, 1.6933713274918524e-17, 4.1646912100449696e-17, 0.0, 0.0, 1.5253199907565992e-17, 5.4527168457031615e-18, 3.996301445145829e-19, 0.0, 9.065797484612543e-18, 3.192280830953062e-17, 8.639566655404417e-18, 1.4065347853384885e-17, 0.05706704515814043, 1.4378388129791516e-17, 0.0, 0.0, 3.303888587188121e-17, 8.726984305710823e-18, 5.1965509815549e-18, 3.357621662257102e-17, 8.043255460537389e-18, 0.0, 0.0, 0.0, 1.6825293057669974e-17, 2.6341673568724208e-17, 0.0, 6.653447650832297e-18, 0.27778203032107085, 0.0, 0.0, 7.308030862320656e-18, 0.0, 3.521481725963357e-18, 1.3770892249870968e-17, 7.248907962602342e-19, 7.580983379423673e-19, 2.1487362399357643e-17]",0.015704780999531678,0.23578204295125393,-0.055752889487885315,0.029954746324458624,"{'FDN': 0.21670533869071457, 'UPRO': 0.00329300475634142, 'QLD': 0.4451525810737331, 'IDU': 0.05706704515814044, 'EDV': 0.2777820303210709}",FDN0.21670533869071457 UPRO0.00329300475634142 QLD0.4451525810737331 IDU0.05706704515814044 EDV0.2777820303210709
4,"[2.6970799589997804e-17, 0.20080934496399924, 7.203175883750104e-18, 0.0, 2.209597097255891e-17, 2.209467732223946e-17, 0.0, 4.3602537918920653e-17, 0.006878169035550184, 2.1201504180258366e-17, 0.0, 0.0, 0.0, 2.553226813507688e-18, 0.0, 1.6947442908963577e-17, 0.0, 0.0, 7.367559567823734e-17, 0.0, 3.45112716936441e-17, 1.6219656800083632e-17, 0.0, 0.0, 0.0, 2.6919376989799954e-17, 0.0, 0.0, 6.158674145502395e-17, 0.0, 0.0, 0.48043568460914277, 0.0, 0.0, 0.0, 4.3561880337452447e-17, 0.0, 3.046513391000166e-17, 0.0, 0.0, 3.206687321325955e-17, 5.925570678418012e-17, 0.0, 2.687458434748928e-18, 0.0, 0.0, 0.0, 9.287539159754436e-18, 1.9060204889599498e-17, 1.0623494924762972e-17, 0.0, 5.338748562650097e-18, 0.0, 0.0, 1.9980483085892725e-17, 0.0, 2.8763814333344756e-17, 4.784447891877019e-17, 0.0, 1.9656516084466525e-17, 2.016608340523522e-18, 7.349527776436597e-18, 1.8367732354320537e-17, 0.0, 0.0, 2.163389139893312e-17, 2.5038301621136654e-17, 0.0, 1.869299300606619e-17, 2.4046241232713367e-17, 0.0, 6.646090014640469e-18, 0.0, 1.3936055974286038e-17, 0.027170856672857555, 0.0, 8.433729948922102e-18, 1.811023433835523e-17, 0.0, 7.803537436164902e-18, 0.0, 1.2458853615173176e-18, 4.4647360759658374e-17, 0.0, 0.0, 1.1361075814632963e-17, 0.0, 0.0, 0.0, 0.0, 0.2847059447184506, 3.3695640567834356e-17, 6.590586255696744e-18, 1.8955827329599632e-19, 1.533469217739139e-17, 5.8587497892690285e-18, 0.0, 0.0, 6.590586255696744e-18, 1.483052276658658e-17]",0.017610571993967112,0.24303883637384327,-0.06567876354853258,0.03351862674795901,"{'FDN': 0.20080934496399933, 'UPRO': 0.006878169035550188, 'QLD': 0.480435684609143, 'IDU': 0.027170856672857565, 'EDV': 0.28470594471845073}",FDN0.20080934496399933 UPRO0.006878169035550188 QLD0.480435684609143 IDU0.027170856672857565 EDV0.28470594471845073
5,"[0.0, 0.18073406979787648, 0.0, 0.0, 0.0, 8.485047343777756e-17, 8.838357587825486e-18, 0.0, 0.013192481878707866, 0.0, 0.0, 0.0, 0.0, 3.67593308244674e-17, 0.0, 0.0, 9.209830817113419e-17, 2.4688038096847954e-17, 0.0, 0.0, 1.3144052255017508e-17, 1.403913988396689e-17, 0.0, 0.0, 2.810327494017729e-17, 1.1202052309055532e-16, 2.222147815444343e-17, 2.1048563718794642e-17, 3.0914652370034778e-18, 0.0, 8.182549258683404e-17, 0.5121141995170276, 0.0, 0.0, 2.4308567336478027e-17, 0.0, 0.0, 0.0, 1.1334497268300552e-17, 0.0, 4.115658975325778e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7407794475398156e-17, 0.0, 3.450157220386059e-17, 0.0, 0.0, 1.672869568779771e-17, 3.1995324917727446e-17, 0.0, 1.9646497994790358e-17, 0.0, 0.0, 7.537448966054529e-17, 9.290483561783595e-18, 5.118188883484599e-18, 1.8243039479110445e-18, 3.992448119011991e-17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.487022571599281e-17, 0.0, 9.169054651032693e-19, 0.0013075767129572579, 0.0, 6.783928456177103e-17, 0.0, 2.621825239797977e-16, 0.0, 0.0, 4.211658801955244e-17, 0.0, 0.0, 0.0, 0.0, 0.0, 7.483104872218605e-18, 6.22040494416086e-18, 3.177600979947194e-17, 0.2926516720934316, 0.0, 0.0, 7.571030742294204e-20, 1.481652650967065e-17, 4.5218776886175715e-18, 1.6541393602261235e-17, 2.032011538415594e-17, 0.0, 8.768018431825576e-17]",0.019493187877089677,0.2497922344083491,-0.07500781934090381,0.036798399972311914,"{'FDN': 0.18073406979787665, 'UPRO': 0.013192481878707878, 'QLD': 0.5121141995170281, 'IDU': 0.001307576712957259, 'EDV': 0.2926516720934319}",FDN0.18073406979787665 UPRO0.013192481878707878 QLD0.5121141995170281 IDU0.001307576712957259 EDV0.2926516720934319
6,"[9.319366711508742e-17, 0.14734163602374525, 9.680898372847018e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013714323571594644, 0.0, 1.2347358090803559e-17, 6.253461367465041e-19, 0.0, 0.0, 0.0, 3.343695381813057e-17, 0.0, 3.4532028813539007e-17, 0.0, 0.0, 5.751640644267581e-17, 0.0, 2.379585540589268e-17, 5.0563960011612523e-17, 4.4302692465508735e-17, 3.224771956018553e-17, 0.0, 0.0, 1.716107713124782e-17, 0.0, 4.627669216117305e-18, 0.552016397810225, 0.0, 0.0, 0.0, 2.997724774507038e-17, 0.0, 3.351558927683385e-17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4278833592417072e-17, 2.41860728967809e-18, 0.0, 0.0, 0.0, 2.5920880113514982e-17, 1.5431574458345905e-17, 1.4060228116741193e-17, 4.5250858259053e-18, 2.2083324193133926e-17, 0.0, 0.0, 0.0, 0.0, 9.656365218574718e-18, 0.0, 0.0, 6.513588073179005e-18, 3.2246780123644044e-17, 6.7433881117691075e-18, 3.161566357494438e-17, 1.7908634721684206e-18, 1.43177261327065e-17, 0.0, 6.026967644981409e-18, 0.0, 2.371033587941807e-17, 0.0, 2.0558664888076185e-17, 4.7243590858375666e-17, 0.008429542570726995, 1.3268113705667054e-17, 0.0, 0.0, 3.671059755387707e-17, 2.4308341140179605e-17, 7.76075168441673e-18, 1.6402951842257145e-17, 6.308182583469837e-18, 0.0, 0.0, 2.8565528733079715e-17, 0.0, 3.0750026704048556e-17, 3.4265352040545276e-17, 9.441357455363493e-18, 0.27849810002370834, 2.12742691231147e-17, 7.264344175528573e-18, 4.583689436674726e-17, 0.0, 0.0, 0.0, 3.041135213053821e-17, 0.0, 0.0]",0.021358996564132406,0.2561256131492784,-0.08386355514632621,0.03984235378438659,"{'FDN': 0.1473416360237453, 'UPRO': 0.01371432357159465, 'QLD': 0.5520163978102253, 'IDU': 0.008429542570726999, 'EDV': 0.27849810002370845}",FDN0.1473416360237453 UPRO0.01371432357159465 QLD0.5520163978102253 IDU0.008429542570726999 EDV0.27849810002370845
7,"[0.0, 0.12331075549121606, 3.5809257281717055e-17, 0.0, 4.683620939985627e-17, 0.0, 0.0, 0.0, 0.023417640312074384, 1.1516352354463724e-17, 9.28893291396765e-18, 0.0, 1.4753989489652396e-17, 5.968563760730793e-18, 0.0, 0.0, 3.6239765627308895e-18, 0.0, 0.0, 0.0, 9.505773348464751e-18, 0.0, 1.0920041159596698e-17, 0.0, 1.7569927421900945e-18, 0.0, 0.0, 0.0, 4.596010012161259e-17, 0.0, 1.0120442057388634e-17, 0.5773041965060242, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6688612741181218e-17, 8.446443143430453e-18, 8.201766126166756e-18, 0.0, 3.18911600785014e-17, 0.0, 0.0, 4.1529255373927815e-19, 1.8070970511100236e-17, 0.0, 1.6912229439256353e-17, 4.869587023555309e-17, 0.0, 0.0, 2.4923405451991442e-18, 2.3532638954995965e-17, 1.299203775457113e-17, 0.0, 2.3049552964278274e-17, 1.2570892973196399e-18, 1.5069085746030996e-17, 3.993845049598755e-17, 7.531909370579497e-18, 1.3390990272727908e-17, 2.7635543346703477e-17, 3.8433642563093613e-17, 0.0, 1.0413792667921361e-17, 2.3210643230247015e-17, 1.8474158193993283e-17, 0.0, 0.0, 0.0, 0.0, 5.243666804230939e-17, 0.0, 0.00030830159626248034, 7.893022616892563e-18, 0.0, 6.558098692019786e-18, 1.1313064447122689e-17, 0.0, 0.0, 2.4971763332980077e-17, 5.79462939516195e-19, 0.0, 2.627956680294166e-17, 0.0, 2.9712591338163337e-17, 1.5612880898168256e-17, 2.403408245977051e-17, 6.410721119437146e-17, 0.27565910609442335, 3.713937621968904e-17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0557726666558508e-18, 0.0]",0.023208518511725625,0.2621018619495986,-0.09230193612066678,0.04267377565947599,"{'FDN': 0.12327273858846184, 'UPRO': 0.02341042061618548, 'QLD': 0.5771262127007126, 'EDV': 0.27557411995199027}",FDN0.12327273858846184 UPRO0.02341042061618548 QLD0.5771262127007126 EDV0.27557411995199027
8,"[2.7616704563926586e-17, 0.09787056266181571, 0.0, 0.0, 0.0, 0.0, 0.0, 3.3298905735939574e-18, 0.026623416782128432, 0.0, 0.0, 0.0, 4.287785888089724e-17, 2.5591949306510388e-17, 0.0, 1.922564967494706e-17, 0.0, 0.0, 5.245305812983875e-17, 0.0, 5.504836708022593e-17, 0.0, 0.0, 0.0, 8.582634490899653e-18, 7.091856503732088e-18, 5.540985379106581e-18, 0.0, 5.4678017324638114e-18, 4.3587672490696344e-17, 9.190357144641067e-17, 0.608537396975491, 6.39582604505968e-17, 0.0, 0.0, 4.074418288676366e-17, 0.0, 0.0, 0.0, 1.7304240137395404e-17, 4.218646823770092e-17, 0.0, 5.2087139896624896e-17, 3.1351773347839624e-17, 2.4222250829003058e-17, 1.868016045691529e-17, 0.0, 2.1398797404422692e-17, 0.0, 0.0, 0.0, 4.2843423141441596e-17, 6.400677618772575e-18, 4.729207483176903e-17, 0.0, 1.551432861475522e-17, 0.0, 1.7568853230117655e-17, 1.2325380473434627e-17, 4.0567491813966406e-17, 4.1525994297079377e-17, 1.6149507071451958e-17, 4.524545842401421e-18, 0.0, 1.2820047714631138e-17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.97501925633654e-18, 0.0, 3.831235129519656e-17, 2.5186728744543923e-17, 6.952157284816304e-17, 3.949918690984105e-18, 9.473604962202906e-17, 1.5454320180592012e-17, 1.6396559631117697e-17, 0.0, 0.0, 1.9934358291764973e-17, 0.0, 2.187088736742512e-17, 0.0, 6.2267432532036645e-18, 2.2457588588490568e-17, 1.9776209540213083e-17, 0.266968623580565, 0.0, 1.0837990618056076e-17, 0.0, 0.0, 2.364273013724055e-18, 0.0, 0.0, 1.2132976939466767e-19, 4.7229914163889835e-17]",0.025049765511143494,0.2677697820479516,-0.10042403439791775,0.045338077367925785,"{'FDN': 0.09787056266181574, 'UPRO': 0.02662341678212844, 'QLD': 0.6085373969754911, 'EDV': 0.26696862358056506}",FDN0.09787056266181574 UPRO0.02662341678212844 QLD0.6085373969754911 EDV0.26696862358056506
9,"[0.0, 0.06690179172284137, 1.0112992017602561e-17, 5.669127603487013e-17, 1.2412501662209523e-17, 2.5579771282818714e-17, 8.686546182778948e-18, 4.424160117672546e-17, 0.01924107776922458, 1.619588520543391e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 4.306596179758387e-17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6984136508767304e-17, 0.0, 0.0, 5.832267689188095e-17, 1.3111446299235413e-17, 1.9712689769468552e-18, 1.922391710755496e-17, 0.65253825165712, 0.0, 1.5906697376821976e-17, 2.1686480594508344e-17, 1.8713706811776316e-17, 0.0, 7.71691445676901e-17, 0.0, 8.029248615709611e-18, 0.0, 0.0, 0.0, 0.0, 2.579151411903325e-17, 0.0, 2.5237612323775348e-17, 2.836649427868633e-17, 3.651782344299387e-18, 0.0, 1.57677416218249e-17, 1.1159882388761505e-17, 0.0, 1.4575119232090844e-17, 3.17860663906461e-19, 6.003538521154782e-20, 2.5146090413824513e-17, 0.0, 6.440257158307912e-18, 6.688787405451643e-17, 0.0, 5.794775700852767e-18, 0.0, 0.0, 0.0, 0.0, 1.5166332828675306e-17, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5053854553579498e-18, 0.0, 0.0, 0.0, 0.0, 7.197446860906851e-18, 0.0, 0.0, 7.10433098895528e-18, 4.838532870634086e-17, 0.0, 0.0, 9.154628139880977e-18, 2.5624825735313167e-18, 0.0, 3.079076032597454e-17, 2.3758635045622928e-17, 5.813195202320763e-17, 0.26131887885081473, 2.4061888241339008e-17, 0.0, 0.0, 0.0, 0.0, 3.909333492331382e-17, 2.6935023998425595e-17, 5.855654268861897e-19, 0.0]",0.02687372658112593,0.2731681278208956,-0.10819491604422826,0.04782191772233784,"{'FDN': 0.06690179172284141, 'UPRO': 0.019241077769224593, 'QLD': 0.6525382516571204, 'EDV': 0.2613188788508149}",FDN0.06690179172284141 UPRO0.019241077769224593 QLD0.6525382516571204 EDV0.2613188788508149
